CalYear,NO3N_WET_kg_ha,NH4N_WET_kg_ha,N_WET_kg_ha,SO4S_WET_kg_ha,source
1988,2.83,0.62,3.48,5.67,BBWM
1989,3.29,1.54,4.84,6.5,BBWM
1990,2.93,1.31,4.23,6.26,BBWM
1991,2.32,1.26,3.6,4.75,BBWM
1992,2.36,1.21,3.57,5.02,BBWM
1993,2.3,1.08,3.37,4.7,BBWM
1994,2.26,1.24,3.52,4.27,BBWM
1995,2.89,1.51,4.42,4.37,BBWM
1996,3.51,1.48,4.99,5.37,BBWM
1997,2.76,1.45,4.22,4.85,BBWM
1998,1.93,1.33,3.28,4.37,BBWM
1999,3.27,1.81,5.08,6.99,BBWM
2000,2.86,1.82,4.7,5.44,BBWM
2001,2.29,1.12,3.41,3.67,BBWM
2002,2.31,1.85,4.18,3.84,BBWM
2003,2.08,0.87,2.96,3.6,BBWM
2004,1.39,0.5,1.55,2.76,BBWM
2005,1.82,1.56,3.38,3.81,BBWM
2006,2.14,1.81,3.93,4.14,BBWM
2007,1.5,1.11,2.56,3.32,BBWM
2008,1.68,1.26,2.93,3.67,BBWM
2009,0.61,0.32,0.92,1.22,BBWM
2010,1.1,0.4,1.5,1.83,BBWM
2011,1.34,0.63,1.95,2.09,BBWM
2012,1.35,0.86,2.19,1.91,BBWM
2013,,,2.175,1.392,HOW132
2014,,,2.232,1.385,HOW132
2015,,,1.74,0.903,HOW132