WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,N/A,N/A
1972,N/A,2792.2,1904.2126,2.896470588,N/A,0.009117647,0.000470588,0.038235294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.877572208,N/A,0.014984082,3.37E-04,0.032266967,N/A,N/A,N/A,N/A
1973,N/A,1605.9,682.5234,2.455,N/A,0.00125,0.0018125,0.063375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.183454908,N/A,0.00235785,9.66E-04,0.057683052,N/A,N/A,N/A,N/A
1974,N/A,2889.5,2138.045,3.2025,N/A,N/A,0.0005625,0.04775,N/A,N/A,21.0078,N/A,N/A,N/A,N/A,4.506717854,N/A,N/A,8.69E-04,0.065733107,N/A,N/A,N/A,N/A
1975,N/A,1951.2,1351.5594,3.068333333,N/A,N/A,0.0005,0.041,N/A,N/A,7.353,N/A,N/A,N/A,N/A,1.677515293,N/A,N/A,1.12E-05,0.026462173,N/A,N/A,N/A,N/A
1976,N/A,2367.4,1479.0166,3.747647059,N/A,N/A,0.004588235,0.048058824,N/A,N/A,13.1562,N/A,N/A,N/A,N/A,3.848850848,N/A,N/A,0.006339311,0.049899301,N/A,N/A,N/A,N/A
1977,N/A,1267,420.3954,4.066666667,N/A,N/A,0.002555556,0.048277778,N/A,N/A,8.777333333,N/A,N/A,N/A,N/A,3.312812951,N/A,N/A,0.005882091,0.037326431,N/A,N/A,N/A,N/A
1978,N/A,2439.8,1353.3882,3.156666667,N/A,N/A,0.006277778,0.042,N/A,N/A,19.5156,N/A,N/A,N/A,N/A,4.91362708,N/A,N/A,0.006559724,0.070465577,N/A,N/A,N/A,N/A
1979,N/A,1771.7,1042.67,4.035882353,N/A,0.0133125,0.001352941,0.038764706,0.214117647,14.40514286,33.62742857,48.03257143,138.3428571,N/A,N/A,5.098424516,N/A,0.011850792,0.00262966,0.049300553,0.20093874,N/A,N/A,N/A
1980,N/A,1966.9,960.7804,3.772352941,N/A,0.006764706,0.001647059,0.042941176,0.17,16.62675,28.128,44.75475,N/A,N/A,N/A,4.124317528,N/A,0.011141321,0.003543351,0.05409922,2.22E-03,N/A,N/A,N/A
1981,N/A,2238.7,1095.6798,3.474117647,N/A,0.008,0.000588235,0.049117647,N/A,19.23436364,16.28454545,35.51890909,N/A,9.905416568,1760.38001,3.379503538,N/A,0.013562936,1.70E-04,0.04594329,N/A,N/A,N/A,N/A
1982,N/A,2745.7,1605.8896,3.491666667,N/A,0.004928571,0.002388889,0.051,N/A,27.98483333,20.02733333,48.01216667,N/A,8.769166624,2236.870026,2.371774482,N/A,0.004672564,0.002461173,0.038506907,N/A,N/A,N/A,N/A
1983,N/A,2623.2,1470.8124,3.081764706,N/A,0.0316,0.008647059,0.046117647,N/A,19.154,21.5555,40.7095,N/A,9.289166689,2146.260023,2.594233024,N/A,0.009740654,0.002892868,0.038305695,N/A,111.3494,N/A,N/A
1984,N/A,2521.4,1480.5152,3.174705882,N/A,0.002941176,0.004176471,0.035235294,0.33,14.5374,19.857,34.3944,262.8,9.058750021,2144.310009,5.494727555,N/A,0.004258698,0.009513343,0.052934012,0.745526829,111.0202,N/A,N/A
1985,N/A,2073.9,1101.3694,3.127647059,N/A,0.008882353,0.001941176,0.041235294,N/A,14.73145455,17.2762,31.1408,N/A,8.70374988,1682.190016,3.626682075,N/A,0.014540353,0.002555011,0.045666492,N/A,12.4192,N/A,N/A
1986,N/A,2252.8,1120.3686,3.779473684,N/A,0.008368421,0.016526316,0.037526316,N/A,6.803181818,17.35936364,24.16254545,N/A,9.151249955,1863.810012,2.603702555,N/A,0.006146993,0.017212128,0.027745191,N/A,136.2662,N/A,N/A
1987,N/A,1714.7,832.7898,4.142352941,N/A,0.005941176,0.002411765,0.041,N/A,7.9135,17.8255,25.739,N/A,10.29583327,1393.829985,4.559662306,N/A,0.007611698,0.004908866,0.054890818,N/A,133.2067,N/A,N/A
1988,N/A,1963.8,838.2254,4.045,N/A,0.007888889,0.002444444,0.042333333,N/A,3.3554,7.50238,10.85778,N/A,9.76666673,1644.99,2.593150255,N/A,0.006945829,0.002337874,0.029498054,N/A,132.3397,N/A,N/A
1989,N/A,2185.4,1145.3114,3.536842105,N/A,0.007473684,0.001315789,0.036789474,0.208421053,5.053916667,6.888233333,11.94215,4.913666667,9.352083258,1790.709966,3.580976582,N/A,0.008866102,1.82E-03,0.039204414,0.236456823,191.0053,N/A,N/A
1990,N/A,1981.7,917.9814,3.702222222,N/A,0.008277778,0.001,0.035833333,0.166666667,3.071516667,6.09425,9.165766667,5.3325,9.845833401,1596.150012,3.724922193,N/A,0.008918241,1.84E-03,0.036447082,0.273411071,140.3812,N/A,N/A
1991,N/A,2028,921.8676,3.694444444,N/A,0.007611111,0.000833333,0.034277778,0.108235294,3.864833333,6.3865,10.25133333,9.190833333,9.010833412,1636.889991,4.409214092,N/A,0.012255345,1.99E-03,0.045348289,0.163308359,N/A,N/A,N/A
1992,N/A,1692.05,645.1092,3.824117647,N/A,0.012866667,0.007176471,0.039823529,0.113529412,2.822818182,4.90715,7.495454545,8.386666667,11.20875009,1489.439967,4.24649061,N/A,0.014777106,0.007114676,0.051626888,0.161037579,233.58395,N/A,N/A
1993,7.562777778,2502.05,1258.824,3.833333333,N/A,0.006166667,0.010277778,0.036611111,0.118888889,3.977381818,6.793345455,10.77072727,13.36327273,8.804583219,1974.949991,2.677384789,N/A,0.005952627,0.002294391,0.025684646,0.106753677,105.5303,N/A,N/A
1994,8.765439093,1512.45,539.369,3.983529412,N/A,0.006705882,0.010411765,0.037588235,0.133529412,2.866033333,5.769709091,8.862472727,10.89,9.909166614,1210.61,2.927598633,N/A,0.007529167,0.006543923,0.027637213,0.111940907,130.69445,N/A,N/A
1995,7.759863014,2427.85,1199.9722,3.744117647,N/A,0.006647059,0.002470588,0.034470588,0.114117647,3.2234,5.5654,8.7888,14.81633333,9.232083321,1984.959972,1.642974473,N/A,0.003518591,8.14E-04,0.01562709,0.054481207,140.9121,N/A,N/A
1996,8.793181818,2887,1762.633,3.646470588,N/A,0.011058824,0.004470588,0.034705882,0.146470588,4.071909091,6.587272727,10.65918182,24.57,9.799166679,2483.430009,2.977922288,N/A,0.017164513,0.003758995,0.02942482,0.166909644,N/A,N/A,N/A
1997,8.166298343,3222.25,1846.2752,3.268823529,N/A,0.007705882,0.008823529,0.033235294,0.101764706,4.13985,7.3669,11.50675,15.64583333,9.570000132,2662.279964,2.551929589,N/A,0.006977736,0.00340377,0.026768658,0.098909511,234.7587,N/A,N/A
1998,8.67706044,2043.75,1033.5768,3.776666667,N/A,0.008722222,0.011555556,0.032888889,0.111666667,4.029283333,6.4349,10.46418333,10.22490909,9.959583322,1670.970002,2.852284477,N/A,0.005588283,0.00750229,0.025343977,0.088234986,145.0196,N/A,N/A
1999,7.079863014,2650.55,1588.2366,3.362941176,N/A,0.007,0.001882353,0.030647059,0.121875,3.109333333,4.92595,8.035283333,9.115818182,8.592499996,2281.760019,2.353328207,N/A,0.003218545,9.37E-04,0.020830179,0.092197005,144.5673,N/A,N/A
2000,8.630144928,2167.9,1203.2234,3.505294118,N/A,0.006941176,0.001058824,0.031352941,0.105882353,4.198654545,5.709145455,9.9078,10.84690909,9.73999994,1807.260007,2.822629207,N/A,0.007098431,1.55E-03,0.026490782,0.092657014,0.4039,N/A,N/A
2001,8.19739726,1324.95,452.7296,3.967222222,1,0.003833333,0.000944444,0.038166667,0.113333333,2.8772,5.969883333,8.847083333,8.000833333,9.436249892,1104.840008,3.616586882,0.110355253,0.004121462,9.55E-04,0.031731223,0.118013703,108.7962,N/A,N/A
2002,7.612931034,2239.3,1276.6802,3.65625,1.23375,0.0045,0.0001875,0.030352941,0.1075,2.52875,4.909833333,7.438583333,9.058333333,9.409166634,1837.430007,4.937216363,3.002675923,0.005445224,1.34E-04,0.036230095,0.15515851,158.0864,N/A,N/A
2003,8.824794521,1955.15,978.281,3.768823529,1.29,0.006294118,0.000176471,0.031117647,0.121764706,3.838781818,5.7466,9.585381818,11.68636364,10.28708345,1666.070024,2.98377457,0.238590586,0.006308104,2.69E-04,0.025800259,0.107970106,104.5802,N/A,N/A
2004,8.252322404,2190.95,1026.9982,3.782222222,1.346875,0.011888889,0.001222222,0.0365,0.132222222,3.361483333,5.46755,8.829033333,12.259,9.979999801,1812.09999,2.734839882,1.023186113,0.008094219,8.54E-04,0.026385367,0.108678706,N/A,N/A,N/A
2005,7.555507246,1601.4,686.6636,3.975882353,1.147058824,0.004823529,0.001529412,0.036647059,0.110588235,3.1571,5.350316667,8.507416667,11.28581818,9.880416791,1318.209984,4.186151199,1.427954271,0.00687377,2.14E-03,0.036688404,0.124185135,143.9706,N/A,N/A
2006,8.054621849,2471.75,1326.3118,3.740555556,1.176666667,0.007111111,0.000777778,0.034388889,0.107777778,4.771916667,6.443166667,11.21508333,10.06766667,9.684166749,2015.96999,3.025606632,1.289542846,0.007901314,8.70E-04,0.027374956,0.097214745,151.468,N/A,N/A
2007,7.554269972,2256.1,1129.6396,3.583529412,1.104117647,0.004823529,0.000529412,0.038117647,0.111176471,2.480916667,4.787,7.267916667,12.74666667,9.524999986,1819.849966,2.934144625,1.141924149,0.004346972,2.15E-04,0.032837192,0.105237014,132.6365,N/A,N/A
2008,6.178674352,2395.2,1457.579,3.673333333,1.041111111,0.003,0.000333333,0.035277778,0.108888889,7.1505,10.18308333,17.33358333,18.845,8.67666673,1945.239979,2.987245077,0.833360044,0.002941632,1.80E-04,0.028227065,0.094048847,117.2426,N/A,N/A
2009,7.941780822,2092.05,1078.992,3.704117647,1.121764706,0.002882353,0.000529412,0.035176471,0.11,12.248,13.501,25.749,23.755,9.670416916,1669.180041,2.833491713,0.982705401,0.003254041,3.88E-04,0.028843585,0.094210138,47.5999,N/A,N/A
2010,7.158653846,2233.2,990.5746,3.632352941,1.239411765,0.008705882,0.012117647,0.031529412,0.112941176,12.249,14.674,26.923,24.99,9.141250059,1834.72998,4.882206252,1.707299698,0.022386645,0.028923161,0.045804317,0.169597818,N/A,N/A,N/A
2011,6.511917808,2481,1436.5732,3.689444444,1.288888889,0.011833333,0.000388889,0.021666667,0.103888889,15.85945455,17.05872727,32.91818182,32.04727273,8.717083365,2076.68998,3.112636393,1.26428522,0.011495727,4.39E-04,0.018937605,0.096905277,0.41735,N/A,N/A
2012,7.207923497,2493.5,1397.7874,3.58375,1.54125,0.004875,0.0006875,0.02175,0.10625,9.540545455,11.95581818,21.49636364,24.43090909,9.290000002,1913.579999,2.682349915,1.093943173,0.005263122,1.26E-03,0.016023645,0.088566212,134.3239,N/A,N/A
2013,9.057023411,2482.018333,1136.8532,3.714705882,1.397647059,0.004117647,0.000117647,0.020764706,0.102352941,9.306,14.65418182,23.96018182,23.25272727,9.73875005,1910.149994,4.26230107,1.902572297,0.004253916,6.04E-04,0.027786291,0.131083954,192.1003,N/A,N/A
2014,8.214383562,2119.3,1161.3388,3.871111111,1.281666667,0.003555556,0.000222222,0.021722222,0.1,5.9425,13.834,19.7765,24.1175,10.04541669,1728.580002,2.965419593,1.211667185,0.003738059,1.83E-04,0.01757746,0.080499621,139.7386,N/A,N/A
2015,9.747945205,1507.741558,757.5804,4.097647059,1.375882353,0.003941176,0.000352941,0.024823529,0.104705882,1.176,7.9935,9.1695,13.8,11.34958323,1498.459994,2.362278743,0.962122366,0.002763192,3.82E-04,0.016024381,0.067894932,181.4613,N/A,N/A
2016,8.43989071,2211.5,1077.9506,3.968888889,1.456666667,0.003722222,0.000111111,0.023666667,0.105,3.483272727,10.62345455,14.10672727,27.19636364,10.42291659,1833.539965,4.66024397,2.367572747,0.004071572,2.27E-04,0.031110822,0.145452634,N/A,N/A,N/A
2017,7.823424658,2732.9,1447.4698,3.795294118,1.308823529,0.004411765,0.000294118,0.022764706,0.105294118,2.3088,12.7716,15.0804,31.578,9.610416626,2267.059999,4.41605356,1.665607556,0.004094873,6.03E-04,0.026947113,0.132571551,N/A,N/A,N/A
2018,8.814766082,1685.8944,983.5134,3.895294118,1.259411765,0.006117647,5.88235E-05,0.023823529,0.106470588,4.766181818,8.096181818,12.86236364,16.12909091,9.972916663,1407.270004,3.428092515,1.23076192,0.005510521,1.45E-04,0.023295642,0.106871091,N/A,N/A,N/A
