Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,N/A,2101.6656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,N/A,1194.096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,N/A,994.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,N/A,1539.278,251.6994429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,N/A,1412.978,275.765732,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,N/A,1837.904,439.9878058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,N/A,1223.516,224.3824777,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,N/A,1593.908,321.4042252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,N/A,1422.904,226.8318757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,N/A,1457.91,290.5317437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1976,N/A,1338.442,198.359301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1977,N/A,1286.758,210.1969398,9.479166667,N/A,N/A,0.0214375,0.01593125,0.803015625,N/A,N/A,N/A,N/A,N/A,N/A,0.124098774,N/A,0.000544952,0.000497686,N/A,0.093031096,N/A
1978,N/A,1298.658,170.0851107,12.76538462,N/A,N/A,0.039692308,0.0205,0.915045577,N/A,N/A,N/A,N/A,N/A,N/A,0.328895025,N/A,0.005116198,0.003402157,N/A,0.133336872,N/A
1979,N/A,1502.212,313.7678913,11.55384615,N/A,N/A,0.05275,0.009865385,0.815978077,N/A,N/A,N/A,N/A,N/A,N/A,0.495707947,N/A,0.005086162,0.001377932,N/A,0.123094483,N/A
1980,N/A,1404.77,347.7147029,9.163461538,N/A,N/A,0.0375,0.011211538,0.432003462,N/A,N/A,N/A,N/A,N/A,N/A,0.234741134,N/A,0.004267921,0.001350633,N/A,0.074478371,N/A
1981,N/A,1142.436,59.78921942,11.87115385,N/A,N/A,0.041346154,0.020384615,1.129190192,N/A,N/A,N/A,N/A,17.16576602,1029.366101,0.297862438,N/A,0.004140575,0.002663468,N/A,0.100733819,N/A
1982,N/A,1593.886,N/A,9.022727273,N/A,N/A,0.025,0.013227273,0.784820455,N/A,N/A,N/A,N/A,17.51501551,1292.825704,N/A,N/A,N/A,N/A,N/A,N/A,148.6777
1983,N/A,1516.524,N/A,7.94,N/A,N/A,0.004,0.0592,0.45288,N/A,N/A,N/A,N/A,17.63715937,1284.714028,N/A,N/A,N/A,N/A,N/A,N/A,156.9766
1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.41371143,1355.140977,N/A,N/A,N/A,N/A,N/A,N/A,161.7706
1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.076780869,0.141890931,0.2186718,0.50251758,18.09346527,959.8848117,N/A,N/A,N/A,N/A,N/A,N/A,184.0845
1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.053777297,0.126833946,0.180611244,0.349754494,18.88211582,1079.12447,N/A,N/A,N/A,N/A,N/A,N/A,157.9331
1987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.080877207,0.211556076,0.292433284,0.556318259,18.15972559,1447.847146,N/A,N/A,N/A,N/A,N/A,N/A,162.2646
1988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04550903,0.163956882,0.209465912,0.474228356,17.19439305,1107.238773,N/A,N/A,N/A,N/A,N/A,N/A,177.0355
1989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.120332202,0.237906175,0.358238377,0.662208966,17.96848084,1176.357726,N/A,N/A,N/A,N/A,N/A,N/A,127.5965
1990,N/A,N/A,158.8742722,13.18582258,N/A,N/A,0.0995,0.007951613,0.636008516,0.117151763,0.191776783,0.308928547,0.523782003,18.77969106,970.1752605,0.358353968,N/A,0.002427114,0.000459921,N/A,0.015108081,169.6422
1991,N/A,N/A,616.4233165,12.08255882,N/A,N/A,0.034661538,0.008523077,0.338229141,0.136035081,0.267068133,0.403103214,0.777189177,19.16198973,1535.959677,0.333968573,N/A,0.003152885,0.000859697,N/A,0.013673663,166.6562
1992,N/A,N/A,369.3671301,9.49,N/A,N/A,0.048,0.0118,N/A,0.071163302,0.180554402,0.251717704,0.449438145,1.78E+01,1197.879409,0.000832732,N/A,1.65025E-05,6.27401E-06,N/A,2.45644E-05,179.28585
1993,N/A,N/A,676.8089476,12.44619048,N/A,N/A,0.039678571,0.022507143,N/A,0.114691597,0.242271194,0.356962791,0.540676787,18.01732775,1185.53298,N/A,N/A,N/A,N/A,N/A,N/A,179.56335
1994,18.80713497,N/A,N/A,16.04960784,N/A,N/A,0.031314286,0.039648077,N/A,0.128378131,0.214827106,0.343205237,0.511928635,17.87663663,1241.371361,N/A,N/A,N/A,N/A,N/A,N/A,193.05
1995,19.06452016,N/A,N/A,6.799230769,N/A,N/A,N/A,0.012153846,N/A,0.153100252,0.226575495,0.379675747,0.5611065,18.53457545,1524.404481,N/A,N/A,N/A,N/A,N/A,N/A,184.448
1996,13.96581837,N/A,453.4503428,N/A,N/A,N/A,N/A,N/A,N/A,0.119691519,0.216508826,0.336200345,0.444047757,17.55153301,1231.740976,N/A,N/A,N/A,N/A,N/A,N/A,169.0219
1997,19.09124031,N/A,485.0916825,N/A,N/A,N/A,N/A,N/A,N/A,0.11306972,0.196732547,0.309802267,0.426968409,17.86130307,1259.546034,N/A,N/A,N/A,N/A,N/A,N/A,196.1598
1998,19.33616871,N/A,1219.38829,N/A,N/A,N/A,N/A,N/A,N/A,0.165566917,0.221740713,0.38730763,0.558133688,18.58670508,1538.269871,N/A,N/A,N/A,N/A,N/A,N/A,182.191
1999,19.41786162,N/A,649.7366423,N/A,N/A,N/A,N/A,N/A,N/A,0.104511515,0.209377555,0.31388907,0.38859678,18.82052417,1230.332542,N/A,N/A,N/A,N/A,N/A,N/A,140.3394
2000,16.40522144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.126202584,0.236371905,0.362574489,0.470666505,18.36576383,1199.461679,N/A,N/A,N/A,N/A,N/A,N/A,164.85795
2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.132121364,0.203010161,0.335131525,0.454683937,17.43054911,926.5836991,N/A,N/A,N/A,N/A,N/A,N/A,151.8442
2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.092356071,0.154598998,0.24695507,0.303321195,19.15078211,1000.847337,N/A,N/A,N/A,N/A,N/A,N/A,117.7911
2003,19.74040457,N/A,1009.549829,N/A,N/A,N/A,N/A,N/A,N/A,0.269183545,0.294328418,0.563511963,0.672930327,17.84750265,1447.155582,0.60051754,N/A,0.038623329,0.06808818,0.031810825,N/A,176.4336
2004,18.05193181,N/A,58.37113271,11.35374074,20.23140741,0.1,0.119074074,0.203703704,N/A,0.134716809,0.194928124,0.329644933,0.448477074,18.03708044,1135.905459,1.304261115,7.781210431,0.043478087,0.058383713,0.029191857,N/A,163.9316
2005,18.10033986,N/A,167.2424249,8.576083333,29.78264394,0.072800505,0.069939394,0.111580808,N/A,0.113749779,0.158713815,0.272463593,0.394135756,18.25579272,929.1486422,2.17437944,18.43221344,0.058211212,0.087632868,0.053377749,N/A,176.5528
2006,18.02557469,N/A,108.9522562,10.62595052,20.56298177,0.015013021,0.044934896,0.067109375,N/A,0.142571599,0.189577147,0.332148746,0.479039728,18.50057632,1165.162661,1.78140323,10.43967232,0.026646225,0.018916778,0.009446622,N/A,175.6172
2007,18.08380076,N/A,82.21932583,12.28296111,19.75051938,0.016162791,0.041379845,0.028238095,1.104339,0.117267024,0.169916838,0.287183862,0.412206115,18.58475374,954.6212273,0.928005934,11.3207405,0.017630842,0.017296,0.008108472,N/A,193.2366
2008,18.55151316,N/A,124.4648202,12.14159477,33.45866304,0.021964216,0.15209232,0.008667014,3.210873059,0.157795187,0.172288921,0.330084109,0.502285016,18.94059803,1168.327474,1.864534198,14.54344639,0.059815596,0.009087881,0.012462123,N/A,166.6034
2009,17.89865214,N/A,243.9594594,12.16631199,24.42383583,0.018371976,0.188358566,0.023527834,1.241505089,0.136021563,0.138999428,0.275020991,0.301709806,18.17757848,1100.033377,1.972986988,14.11128335,0.111056693,0.035847494,0.006350547,N/A,179.0421
2010,17.52052487,N/A,310.584932,12.67154644,18.07487213,0.012706143,0.053445238,0.013013864,2.027375563,0.127972769,0.180052024,0.308024792,0.355364797,18.29809264,1429.536175,2.112748423,8.360730471,0.031739955,0.004846278,0.003053124,N/A,189.0797
2011,17.63635671,N/A,31.71488155,9.595144928,27.32666667,0.016594203,0.050789855,0.017030303,2.715310957,0.114816269,0.120741623,0.235557892,0.226252363,18.44406659,867.0332568,2.736620468,11.00363813,0.054631485,0.007410248,0.003781245,N/A,170.6133
2012,16.9137105,N/A,21.49539728,9.94797619,26.47,0.031357143,0.057690476,0.030559524,3.439410321,0.098994099,0.115461203,0.214455302,0.189273997,19.213539,1022.830398,2.6866948,2.400655973,0.129556028,0.015393035,0.008562633,N/A,195.1422
2013,15.53377563,N/A,169.2953056,10.00839321,33.02814394,0.039728957,0.097293242,0.016792367,2.158643421,0.173338445,0.147211996,0.320550441,0.248936684,17.98940739,1279.208316,2.402085721,10.89390521,0.07356341,0.009780726,0.00515994,N/A,126.2162
2014,17.33910232,N/A,132.6018967,9.035428571,27.84205333,0.029719571,0.02194122,0.094273857,1.77704784,0.117227463,0.121465466,0.238692929,0.175639221,18.17110941,1138.675262,2.440146084,15.05995074,0.080744767,0.018940605,0.010351176,N/A,178.2785
2015,N/A,N/A,215.1038307,8.487126068,22.45402778,0.013797009,0.038014957,0.016973077,1.464473519,0.12200118,0.102816504,0.224817684,0.139307735,18.32630959,1095.898378,1.116405264,8.356778788,0.031251348,0.0040521,0.002551837,N/A,175.1848
2016,N/A,N/A,461.1423599,8.770477912,23.09460976,0.014316867,0.08185743,0.019010843,0.786625572,0.189873628,0.169640931,0.359514558,0.235321942,19.75913958,1718.046501,1.328663427,10.25517231,0.04941727,0.0064648,0.00246862,N/A,N/A
2017,N/A,N/A,225.3840382,8.629344086,26.07597849,0.014092473,0.069315054,0.006906667,0.735796084,0.115884289,0.120207388,0.236091676,0.142892783,19.67575204,1434.042202,0.797814681,6.192301144,0.027194769,0.002681337,0.00197835,N/A,N/A
2018,N/A,N/A,N/A,16.1025,19.8575,0.0135,0.10075,0.00825,1.11063825,0.08659442,0.104382629,0.190977049,0.116876358,N/A,N/A,0.560672711,3.252773161,0.019929293,0.000855886,0.00081034,N/A,N/A
2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.017529367,0.023186394,0.040715761,0.040838636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
